iter	Passed	Remaining
867	1003	152
868	1003	151
869	1004	150
870	1005	148
871	1006	147
872	1006	146
873	1007	145
874	1008	144
875	1008	142
876	1009	141
877	1010	140
878	1011	139
879	1011	137
880	1012	136
881	1013	135
882	1013	134
883	1014	133
884	1015	131
885	1015	130
886	1016	129
887	1017	128
888	1018	127
889	1019	125
890	1019	124
891	1020	123
892	1021	122
893	1022	121
894	1022	119
895	1023	118
896	1024	117
897	1024	116
898	1025	115
899	1026	114
900	1027	112
901	1027	111
902	1028	110
903	1029	109
904	1029	108
905	1030	106
906	1031	105
907	1032	104
908	1033	103
909	1033	102
910	1034	101
911	1035	99
912	1035	98
913	1036	97
914	1037	96
915	1038	95
916	1038	94
917	1039	92
918	1040	91
919	1040	90
920	1041	89
921	1042	88
922	1043	87
923	1043	85
924	1044	84
925	1045	83
926	1045	82
927	1046	81
928	1047	80
929	1048	78
930	1049	77
931	1049	76
932	1050	75
933	1051	74
934	1051	73
935	1052	71
936	1053	70
937	1054	69
938	1054	68
939	1055	67
940	1056	66
941	1056	65
942	1057	63
943	1058	62
944	1059	61
945	1059	60
946	1060	59
947	1061	58
948	1062	57
949	1063	55
950	1063	54
951	1064	53
952	1065	52
953	1066	51
954	1067	50
955	1067	49
956	1068	48
957	1069	46
958	1070	45
959	1070	44
960	1071	43
961	1072	42
962	1073	41
963	1074	40
964	1074	38
965	1075	37
966	1076	36
967	1077	35
968	1078	34
969	1078	33
970	1079	32
971	1080	31
972	1080	29
973	1081	28
974	1082	27
975	1083	26
976	1083	25
977	1084	24
978	1085	23
979	1085	22
980	1086	21
981	1087	19
982	1088	18
983	1088	17
984	1089	16
985	1090	15
986	1091	14
987	1092	13
988	1092	12
989	1093	11
990	1094	9
991	1095	8
992	1095	7
993	1096	6
994	1097	5
995	1097	4
996	1098	3
997	1099	2
998	1099	1
999	1100	0
